,npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_mi,nppes_provider_state,Full_Name
56,1003004391,WALKER,DAVID,B,NE,David Walker
70,1003005836,LEASURE,EMILY,,NE,Emily Leasure
87,1003006958,FARRAR,DAVID,W,NE,David Farrar
127,1003009754,SHULL,DANIEL,M,NE,Daniel Shull
339,1003020645,ILAHI,MARIUM,,NE,Marium Ilahi
523,1003034828,PEDERSEN,TYLER,C,NE,Tyler Pedersen
624,1003042912,LUU,MINH,,NE,Minh Luu
647,1003044421,GRAY,RICHARD,E,NE,Richard Gray
668,1003046087,WELLS,KRYSTAL,A,NE,Krystal Wells
685,1003047564,MURUKESAN,VIDHYA,,NE,Vidhya Murukesan
698,1003048471,THOR,KIMBERLY,J,NE,Kimberly Thor
729,1003051970,ADLEY,DOROTHY,V,NE,Dorothy Adley
753,1003053901,PERRY,KYLE,D,NE,Kyle Perry
1089,1003078528,RAY,ABBIE,K,NE,Abbie Ray
1338,1003096710,JOUVENAT,NEIL,C,NE,Neil Jouvenat
1379,1003100801,FITCHNER,JOSHUA,J,NE,Joshua Fitchner
1801,1003173311,EBKE,MITCHELL,E,NE,Mitchell Ebke
1935,1003800012,KNUTSON,JONATHAN,G,NE,Jonathan Knutson
2632,1003813767,KMENT,JACKLYNN,A,NE,Jacklynn Kment
2707,1003815101,WESTBURG,STUART,P,NE,Stuart Westburg
2815,1003816919,HINZE,RANDY,R,NE,Randy Hinze
2887,1003818295,PARSON,CAMILLA,R,NE,Camilla Parson
2968,1003819699,FRENCH,RICHARD,,NE,Richard French
3173,1003824582,ADAMS,MICHAEL,A,NE,Michael Adams
3262,1003827080,SIMMONS,RICHARD,J,NE,Richard Simmons
3447,1003832486,COWLES,RUSSELL,L,NE,Russell Cowles
3637,1003837626,TRIGGS,TED,M,NE,Ted Triggs
3739,1003839796,JOYCE,KAREN,E,NE,Karen Joyce
3988,1003845025,SAFEWAY INC,,,NE, Safeway Inc
4003,1003845355,KALAMAJA,JOSEPH,M,NE,Joseph Kalamaja
4500,1003856238,MCKENZIE,DAVID,D,NE,David Mckenzie
4584,1003857871,DILLON COMPANIES INC,,,NE, Dillon Companies Inc
4606,1003858291,TARGET CORPORATION AND SUBSIDIARIES,,,NE, Target Corporation And Subsidiaries
4803,1003863036,KUMMER,JOSEPH,L,NE,Joseph Kummer
4913,1003865429,LONG,DOUGLAS,J,NE,Douglas Long
4947,1003866237,EXSTROM,BRYCE,A,NE,Bryce Exstrom
4985,1003866955,SCHRADER,KAREN,R,NE,Karen Schrader
5101,1003869249,KRUEGER,LANCE,,NE,Lance Krueger
5119,1003869660,FLORESCU,MARIUS,C,NE,Marius Florescu
5166,1003870635,BELL,BRENDA,K,NE,Brenda Bell
5212,1003871591,RICHARDS,ALAN,T,NE,Alan Richards
5689,1003880832,BERGERSON,NICOLE,J,NE,Nicole Bergerson
5986,1003886813,FORD,LINDA,B,NE,Linda Ford
6114,1003889312,FRIESTAD,LAWRENCE,E,NE,Lawrence Friestad
6425,1003895178,OXFORD,STUART,G,NE,Stuart Oxford
6456,1003896010,KOEFOOT,RICHARD,B,NE,Richard Koefoot
6520,1003897083,JOHNSON,WILLIAM,H,NE,William Johnson
6546,1003897661,MADSEN,BRENT,L,NE,Brent Madsen
6632,1003899220,DOBESH,RONALD,,NE,Ronald Dobesh
6705,1003901174,KASSMEIER,DAVID,G,NE,David Kassmeier
6920,1003908211,IHLE,GAIL,M,NE,Gail Ihle
6932,1003908864,HUBKA,WESLEY,K,NE,Wesley Hubka
6957,1003909789,"OREGON TRAIL EYE SURGERY CENTER, INC",,,NE," Oregon Trail Eye Surgery Center, Inc"
7074,1003913138,JACOBSEN,MATTHEW,W,NE,Matthew Jacobsen
7347,1003921123,DAVEY,MARY,S,NE,Mary Davey
7367,1003921834,GACKE,JEROME,T,NE,Jerome Gacke
7393,1003922477,POST,PAUL,W,NE,Paul Post
7431,1003923475,LANE,ROBBIE,L,NE,Robbie Lane
7435,1003923574,KEELEY,JOHN (KEVIN),,NE,John (Kevin) Keeley
7622,1003929258,WEAVER,DEBORAH,R,NE,Deborah Weaver
7661,1003933128,ENARSON,CAM,E,NE,Cam Enarson
7822,1003945973,WERNER,MARY,E,NE,Mary Werner
7933,1003954454,MCCABE,JOHN,M,NE,John Mccabe
8012,1003959024,SCOTT,JUDITH,A,NE,Judith Scott
